ID,Genero,Años,Estado_civil,Trabajo,Sector,Telefono,Anos_usando_internet_banking,Anos_usando_banca_movil,Banca_movil_userfriendly,Frecuencia_internet_banking_mes,Frecuencia_banca_movil_mes,Frecuencia_pagamentos_tarjeta_mes,Frecuencia_tarjeta_virtual_mes,Frecuencia_saldo_cuenta_mes
21,M,30,Casado,,Institucion publica,Asus,10,3,Si,0,50,0,1,0
76,F,35,Casado,Enfermera,Sector privado,Samsung,5,7,No,,31,1,0,0
152,M,30,Soltero,Profesor,Institucion publica,Iphone ,5,,No,,0,1,0,4
75,F,45,Casado,Ingeniero de informacion,Desempleados,Iphone,5,3,Si,0,1,1,0,1
167,M,24,Soltero,Ingenieria en computacion,Sector privado,Iphone,5,3,Si,4,7,0,0,0
164,M,30,Soltero,Ingeniero,Institucion publica,HTC ,10,3,Si,50,0,31,0,15
195,F,30,Soltero,Ingenieria en computacion,Sector privado,LeNovo A7000,5,3,No,0,7,1,31,4
237,M,30,Soltero,,Institucion publica,General Mobile,0,4,No,31,30,1,0,1
6,F,35,Casado,Servidor publico,Sector privado,Iphone,0,4,Si,,1,1,0,7
6,F,30,Soltero,Profesor,Institucion publica,Samsung AT,5,3,Si,7,7,0,0,35
67,M,30,Casado,Desempleados,Sector privado,Iphone ,5,0,Si,30,30,1,0,31
53,F,45,Soltero,Profesor,Institucion publica,Iphone ,0,3,Si,0,0,1,0,7
193,M,35,,Profesor,Institucion publica,General Mobile,0,3,Si,1,31,0,0,
26,M,40,Casado,,Desempleados,Smartphone,5,0,No,50,50,1,0,0
189,M,45,Casado,Ingeniero de software,Institucion publica,Genaral Mobile,5,3,Si,1,,1,0,1
64,M,35,Casado,AlumNo,Desempleados,Smartphone,,3,No,4,4,1,0,0
100,F,30,Casado,Minero,Institucion publica,Samsung,5,6,No,31,31,0,0,35
244,F,30,Casado,,Sector privado,Iphone 6,10,4,No,0,1,1,0,15
162,M,50,Casado,,Sector privado,Huawei 6205,,3,Si,4,50,1,0,1
221,M,30,Soltero,Profesor,Institucion publica,Iphone,5,0,Si,31,7,0,0,0
102,M,30,Soltero,Ingenieria en computacion,Desempleados,Samsung,5,6,No,4,30,15,0,1
176,M,30,Casado,Ingeniero,,Iphone 5S,5,7,No,1,31,15,0,0
21,F,40,Soltero,Analista de informacion,Selfemployed ,Iphone ,10,7,Si,1,4,31,0,4
8,F,45,Casado,Ingeniero,Institucion publica,Iphone,0,3,No,1,30,1,0,35
110,M,30,Soltero,adquisitivo,Sector privado,SONY Z2,5,3,Si,1,,15,0,0
145,M,35,Soltero,Profesor,Sector privado,Reeder,10,3,No,1,4,0,0,7
201,,30,Casado,Ingeniero de maquinaria,Desempleados,Samsung,10,3,Si,31,7,1,0,30
80,M,35,Soltero,Servidor publico,Sector privado,Iphone ,10,,Si,1,50,1,0,0
189,M,30,Soltero,Psicologo,Desempleados,Iphone 6s,5,3,No,1,1,7,15,31
224,F,24,Casado,Analista de informacion,Institucion publica,HTC ,5,5,Si,7,50,15,1,31
185,M,30,Casado,Ingeniero de informacion,Sector privado,Iphone ,15,0,No,0,30,1,15,15
31,M,30,Casado,Medico,Institucion publica,Iphone ,10,6,Si,31,4,1,0,0
10,F,24,Soltero,Medico,Institucion publica,Asus,5,3,No,1,50,1,0,1
84,M,35,Casado,Guia turistica,Sector privado,Iphone,0,3,No,50,0,31,15,1
52,F,35,Casado,,Sector privado,Samsung,10,6,No,31,0,1,1,35
238,M,24,Soltero,Analista de informacion,Institucion publica,,10,7,No,31,50,0,0,15
108,M,30,Casado,Enfermera,Institucion publica,Samsung S3,5,5,No,31,31,0,15,31
191,M,30,Casado,Ingeniero de informacion,Sector privado,Samsung,5,3,Si,7,7,1,0,7
17,F,50,Soltero,,Sector privado,Samsung,5,6,Si,31,31,31,0,
17,F,30,Soltero,Ingeniero,Sector privado,ASUS,0,4,Si,,31,0,0,0
94,F,50,Soltero,Profesor,Institucion publica,,0,3,Si,,31,1,0,0
69,M,35,Casado,,Desempleados,Samsung A5,5,7,Si,0,1,1,0,15
92,M,30,Soltero,Servidor publico,,General mobile,5,6,Si,31,30,7,0,0
141,F,24,Casado,,Institucion publica,Reeder,5,5,Si,1,50,0,0,4
142,,50,Soltero,Servidor publico,Sector privado,Smartphone,5,0,Si,7,7,15,0,7
188,M,40,Soltero,adquisitivo,Institucion publica,,10,7,No,0,31,15,1,1
72,M,35,Casado,Profesor,Sector privado,Iphone 6,5,6,Si,31,7,1,0,0
234,M,30,Soltero,Profesor,Sector privado,Iphone ,10,0,Si,31,7,0,0,7
143,F,30,Casado,Desempleados,Institucion publica,Iphone 6,5,6,Si,31,50,1,0,7
241,M,30,Casado,Ingenieria en computacion,Sector privado,Samsung S3,10,4,No,0,1,1,0,0
37,M,24,Casado,,Institucion publica,Iphone ,5,3,Si,1,50,1,0,0
74,F,30,Soltero,Servidor publico,Institucion publica,Iphone ,0,4,No,7,4,1,0,0
101,M,30,Casado,Servidor publico,,VODEFONE SMART 6,5,3,Si,4,7,1,,31
172,F,30,Soltero,,Sector privado,Iphone 5S,10,3,Si,50,50,0,0,31
10,F,24,Soltero,Minero,Sector privado,,0,3,Si,31,31,31,,7
22,M,35,Casado,Profesor,Sector privado,Asus ZenFone Selfie,5,7,Si,31,7,31,0,31
33,M,40,Casado,Profesor,Sector privado,LG,5,3,No,50,1,0,0,15
105,F,,Soltero,Profesor,Institucion publica,L G,5,3,No,7,4,31,0,0
20,M,40,Soltero,,Institucion publica,Iphone ,5,3,No,0,0,1,0,1
109,F,50,Soltero,Profesor,Institucion publica,Samsung Note 4,0,3,Si,1,7,0,0,0
202,M,30,Casado,Ingeniero electrico,Selfemployed ,Samsung s3,5,0,Si,31,,1,0,15
135,M,50,Casado,Ingeniero,Institucion publica,,5,3,Si,0,50,31,0,7
186,F,50,Casado,,Sector privado,ASUS,10,6,Si,31,31,0,0,15
248,M,30,Soltero,Ingeniero electrico,Institucion publica,Iphone 5,5,3,Si,7,0,1,0,1
91,F,35,Casado,Ingeniero,Selfemployed ,Iphone ,10,3,Si,0,30,1,0,0
75,M,35,Soltero,Desempleados,Sector privado,Iphone 6,6,0,Si,1,50,1,0,31
47,M,40,Soltero,Retirado,Institucion publica,Xperia,10,3,Si,7,30,15,0,0
81,F,50,Casado,Ingenieria en computacion,Selfemployed ,Iphone,10,4,Si,0,7,15,31,0
91,F,30,Soltero,Ingeniero,Sector privado,Iphone 6,5,3,No,1,50,1,,15
100,F,24,Casado,Profesor,Institucion publica,Iphone  5S,5,6,No,0,50,0,15,4
99,M,30,Casado,,Institucion publica,Samsung S7+,10,3,No,1,31,0,1,0
4,F,35,Soltero,business intelligence developer,Sector privado,Sony,10,6,Si,31,0,31,15,4
233,M,24,Soltero,Servidor publico,Institucion publica,Iphone,5,0,Si,,7,1,1,4
117,M,40,Soltero,,Sector privado,,10,3,Si,1,,1,0,31
196,F,45,Casado,Ingeniero de informacion,Institucion publica,SONY XPER?A 75,0,6,Si,,30,31,1,31
168,M,40,,ArtesaNo,Institucion publica,SONY,5,3,No,1,7,1,0,31
114,F,,Casado,Profesor,Sector privado,Iphone 6S,5,3,No,30,31,1,15,1
157,F,40,Soltero,Servidor publico,Sector privado,Iphone ,6,3,No,1,50,0,1,4
192,M,35,Soltero,Ingeniero,,Iphone 6,5,3,No,0,7,1,0,0
22,M,35,Soltero,Ingenieria en computacion,Sector privado,Iphone 5S,10,7,Si,30,4,15,0,1
21,F,35,Soltero,Ingenieria en computacion,Institucion publica,Iphone 5S,5,3,No,31,50,0,0,1
200,M,30,Casado,Ingeniero de software,Sector privado,Iphone S5,15,3,No,0,31,1,0,0
130,F,30,Soltero,Ingenieria en computacion,Sector privado,Iphone 6,5,6,Si,7,31,15,0,1
184,F,30,Casado,,Institucion publica,,5,3,Si,,7,31,15,15
105,M,35,Casado,Medico,Institucion publica,ASUS,5,,Si,7,7,15,0,15
182,F,50,Casado,Desempleados,Sector privado,Samsung Note 2,5,3,Si,31,4,1,15,15
33,F,35,Casado,Ingenieria en computacion,Sector privado,Nokia,5,3,Si,7,0,31,31,4
125,F,35,Soltero,business intelligence developer,Desempleados,Samsung,5,6,Si,7,50,1,15,
101,F,30,Casado,Medico,Sector privado,Casper,5,6,Si,,,1,30,4
96,F,30,,Analista de informacion,Sector privado,Samsung,10,3,No,31,50,0,0,31
120,F,30,Casado,Profesor,Institucion publica,Sony,5,3,Si,31,1,0,0,15
221,M,30,Soltero,Ingenieria en computacion,Sector privado,LeNovo A7000,5,6,Si,31,50,0,0,0
20,M,40,Casado,Minero,Sector privado,Iphone ,5,3,Si,0,1,1,31,30
108,M,35,Soltero,Ingeniero,Sector privado,Samsung S3,5,0,Si,30,1,1,0,1
96,F,30,Casado,Ingeniero,Institucion publica,Samsung Note 3,5,3,Si,7,30,1,15,7
159,M,40,Casado,Matematico,Institucion publica,HTC M8,5,6,No,31,7,1,1,15
181,,30,Soltero,,Institucion publica,LG G4,5,5,No,30,7,15,0,7
154,,24,Casado,Profesor,Sector privado,Samsung S6,5,3,No,31,,0,0,7
132,M,40,Casado,Profesor,Institucion publica,Samsung,5,6,Si,30,1,0,0,15
206,F,40,Casado,Profesor,Sector privado,Iphone 5S,10,6,Si,7,31,7,0,0
233,M,50,Casado,Desempleados,Sector privado,Iphone  6,15,,Si,,31,0,0,7
10,F,35,Casado,Profesor,Sector privado,LG G2,10,7,Si,31,0,0,15,31
168,F,,Soltero,,Institucion publica,Galaxy S4,5,7,Si,1,1,1,0,30
46,,40,Casado,Retirado,Institucion publica,Iphone ,5,6,Si,,31,1,0,4
125,F,24,Casado,Profesor,Institucion publica,Samsung S7+,5,6,Si,,50,1,15,0
114,F,50,Casado,Ingenieria en computacion,Institucion publica,Samsung,5,3,Si,4,31,,1,0
101,M,45,Casado,Profesor,Institucion publica,Iphone 7,0,3,No,31,7,15,0,31
249,F,35,Soltero,Enfermera,Desempleados,Sony,10,3,Si,30,30,1,0,31
43,M,24,Soltero,,Institucion publica,Asus,5,0,No,31,7,15,0,30
245,M,40,Casado,Servidor publico,Sector privado,Iphone 6+,5,6,No,31,7,0,0,15
228,M,24,Soltero,Ingeniero de software,Sector privado,Samsung,5,3,Si,1,50,15,0,31
117,F,30,Soltero,Profesor,Institucion publica,Samsung Note 3,5,3,Si,,0,1,,15
53,F,35,Casado,Profesor,Sector privado,Galaxy S4,15,6,Si,31,31,1,0,
218,M,,Soltero,Profesor,Institucion publica,Iphone ,0,3,Si,7,31,1,0,1
24,M,30,Soltero,Ingeniero,Desempleados,Sony,5,3,Si,31,50,1,0,1
226,M,50,Soltero,Ingeniero,Sector privado,Iphone 6,5,,Si,1,7,1,0,15
106,F,30,Casado,Profesor,Institucion publica,Samsung S3,5,3,No,31,31,1,0,0
12,F,24,Casado,adquisitivo,Sector privado,Iphone 7,5,,Si,31,31,31,0,31
207,M,30,Soltero,Ingeniero,Institucion publica,Iphone,10,3,Si,31,0,15,0,4
96,M,24,Casado,Profesor,Sector privado,Iphone ,10,7,No,7,30,0,0,
210,M,30,Soltero,Enfermera,Sector privado,Iphone ,5,3,No,31,1,1,0,0
214,M,24,Soltero,Profesor,Sector privado,LG,5,0,No,0,30,1,0,7
105,F,40,Casado,Servidor publico,Sector privado,Iphone 6+,5,3,Si,4,7,1,0,7
62,M,30,Soltero,,Institucion publica,Samsung,5,5,Si,0,30,0,0,0
96,M,24,Casado,Desempleados,Sector privado,Samsung,5,3,Si,50,30,1,15,0
50,M,40,Soltero,Ingenieria en computacion,Sector privado,Sony,10,3,Si,7,7,1,0,15
134,M,50,Casado,Servidor publico,Institucion publica,Samsung S3,5,0,No,4,7,0,0,7
180,F,30,Casado,Desempleados,Institucion publica,Iphone ,10,3,Si,1,31,0,15,0
115,M,45,,Ingenieria en computacion,Sector privado,,5,3,Si,31,7,15,0,1
238,M,30,Casado,Profesor,,Iphone 6,5,3,Si,1,50,0,0,1
172,M,35,Casado,Analista de informacion,Sector privado,Samsung S3,5,3,Si,1,,1,0,1
61,F,45,Soltero,,,Iphone 6,5,6,No,7,31,15,0,31
110,M,24,Casado,,Institucion publica,Iphone 5S,5,4,Si,1,,1,1,0
124,F,30,Soltero,,Desempleados,Asus,10,3,No,,1,0,0,0
127,F,40,Casado,Cajero,Sector privado,Samsung,10,7,Si,1,0,1,1,0
118,M,30,Soltero,Ingeniero de software,Desempleados,Iphone ,5,3,Si,7,4,1,0,1
180,M,35,Soltero,Desempleados,Sector privado,LeNovo S1 Lite,10,7,Si,31,,1,0,15
138,F,45,Casado,Ingeniero,Sector privado,Android,5,,Si,30,31,0,0,31
161,F,30,Casado,,Sector privado,General Mobile,10,6,Si,0,0,1,15,0
129,M,50,Soltero,Ingeniero,Institucion publica,Nokia,5,6,Si,1,7,0,0,7
225,M,30,Soltero,adquisitivo,Sector privado,Iphone 6,10,3,Si,7,,15,15,7
142,M,35,Casado,Profesor,Institucion publica,HTC,0,0,No,7,1,1,0,1
96,F,40,Soltero,Ingeniero,Sector privado,Samsung S6 EDGE,0,4,Si,31,30,1,0,15
168,F,30,Soltero,Profesor,Institucion publica,Casper,0,3,Si,0,,1,,31
116,M,35,Soltero,Profesor,Institucion publica,Samsung,10,3,Si,7,31,1,0,35
73,F,24,Casado,,Sector privado,Samsung S7+,5,0,Si,31,4,0,0,0
71,F,45,Casado,Ingeniero electronico,Sector privado,Iphone 5S,5,3,Si,50,1,1,0,31
159,M,30,Casado,Ingeniero biomedico,Sector privado,Iphone ,5,6,Si,0,7,0,0,31
53,M,30,Casado,Profesor,Institucion publica,,5,3,Si,7,7,1,0,15
11,M,35,Casado,,Institucion publica,Iphone,5,6,No,30,31,1,0,0
153,M,24,Soltero,Enfermera,Sector privado,Samsung,5,3,Si,7,0,0,1,15
181,F,40,Soltero,,Sector privado,Iphone 6,5,3,Si,0,30,31,0,31
86,M,35,Casado,Desempleados,Sector privado,Iphone 6,,6,Si,7,31,1,0,31
194,M,30,Casado,Ingeniero de software,Sector privado,Asus,0,3,Si,31,50,1,15,1
69,M,35,Soltero,Desempleados,Sector privado,Samsung 7+ Edge,10,3,Si,31,31,31,0,7
222,F,30,Soltero,Servidor publico,Desempleados,Iphone 5S,15,3,No,1,7,7,0,31
19,M,50,Casado,,Sector privado,Iphone ,0,3,Si,1,30,1,0,0
37,M,45,Soltero,Ingeniero biomedico,Sector privado,Samsung S3,10,7,Si,50,7,0,0,0
97,M,30,Casado,adquisitivo,Sector privado,Iphone ,5,3,Si,7,50,1,,0
132,F,35,Soltero,Servidor publico,Sector privado,Samsung Note 4,5,3,Si,50,31,0,,31
187,M,40,Soltero,,Sector privado,Iphone ,5,3,No,31,50,1,0,0
172,M,24,Casado,Ingeniero,Institucion publica,,5,3,No,50,0,1,0,15
125,M,30,Casado,AlumNo,Sector privado,Iphone  6,0,3,Si,,31,15,15,15
174,M,50,Casado,AlumNo,Institucion publica,LG G2,10,3,Si,31,,1,0,0
205,F,24,Soltero,Ingeniero de software,Institucion publica,Xperia,5,4,No,31,0,31,0,31
135,M,35,Casado,Profesor,Desempleados,Samsung,5,0,No,4,1,31,0,4
130,M,40,Casado,Ingeniero electronico,Institucion publica,Samsung,10,3,Si,31,0,15,1,0
55,M,,Soltero,Servidor publico,Institucion publica,LG G3,10,,Si,1,7,1,0,0
60,F,50,Soltero,Analista de informacion,Sector privado,Asus ZenFone,5,3,Si,7,50,1,0,0
121,F,35,Soltero,Desempleados,Sector privado,Sony,5,5,Si,30,30,1,0,0
204,M,30,Casado,Profesor,Selfemployed ,Samsung Note 4,5,7,No,,0,0,0,15
26,M,24,Casado,Ingenieria en computacion,Institucion publica,,10,0,Si,1,7,1,0,31
37,M,30,Soltero,Servidor publico,Sector privado,Samsung,10,4,Si,1,7,1,15,1
196,M,35,Casado,Ingeniero de informacion,Institucion publica,Samsung Note 4,5,3,Si,7,7,31,0,1
2,M,45,Soltero,Servidor publico,Selfemployed ,Samsung S7+,0,3,No,,0,1,0,1
188,F,30,Casado,Ingeniero de informacion,Sector privado,,5,3,Si,0,31,0,0,31
204,F,35,Casado,,Institucion publica,LG G3,10,0,Si,1,31,1,15,0
230,F,40,Casado,Servidor publico,Institucion publica,Samsung,5,3,Si,1,31,0,0,4
247,M,35,Soltero,Desempleados,Institucion publica,General Mobile,10,6,No,7,7,15,1,31
185,F,,Soltero,Ingeniero,Institucion publica,Iphone 6+,10,0,No,7,4,31,4,1
113,F,45,Soltero,Ingenieria en computacion,Selfemployed ,,0,3,Si,7,7,31,0,15
45,M,30,,entrenador,Institucion publica,L G,5,3,Si,31,7,15,1,7
222,M,45,Soltero,Ingenieria en computacion,Desempleados,LeNovo A7000,5,3,Si,0,50,1,0,15
135,F,30,Soltero,Ingeniero,Desempleados,Samsung,10,4,Si,,7,31,0,31
144,F,30,Casado,Servidor publico,Sector privado,Samsung Note 3,0,3,Si,31,50,15,0,1
216,M,50,Soltero,AlumNo,Sector privado,Iphone,5,7,Si,31,50,1,15,1
48,M,45,Soltero,,Sector privado,Iphone  5S,10,5,Si,0,31,0,1,30
129,M,24,Casado,Medico,Institucion publica,Samsung Note 3,10,7,No,0,7,1,0,1
113,F,40,Soltero,,Sector privado,Iphone,10,3,No,4,50,31,0,7
81,M,30,Casado,Analista de informacion,Desempleados,Smartphone,0,3,No,1,7,1,15,1
241,,35,Soltero,entrenador,Sector privado,LG G2,5,3,Si,31,30,7,1,15
61,M,35,Soltero,,Sector privado,LG,0,3,Si,31,7,0,15,0
157,M,35,Casado,,Institucion publica,LeNovo S1 Lite,5,3,Si,0,,31,0,7
34,F,40,Casado,Servidor publico,Sector privado,Iphone 5,5,3,Si,50,,1,0,0
171,M,50,Casado,ArtesaNo,Sector privado,Samsung J5,5,3,No,0,50,1,0,0
240,M,35,Soltero,Ingenieria en computacion,Sector privado,Genaral Mobile,10,7,No,4,,0,0,30
128,M,40,Soltero,Profesor,Sector privado,Samsung S3,0,4,Si,1,30,0,,0
63,M,24,Casado,,Institucion publica,Iphone 6S,0,3,Si,,1,1,0,0
141,F,30,Casado,Ingeniero,Sector privado,Android,5,6,Si,7,50,1,0,35
81,M,30,Soltero,,Sector privado,HTC M8,5,6,No,1,30,1,0,0
244,M,30,,Ingeniero biomedico,Sector privado,SONY XPER?A 75,5,,No,30,50,1,0,0
52,M,50,Casado,Profesor,Sector privado,Iphone 5S,5,7,No,31,0,15,0,0
104,M,30,Casado,Profesor,Institucion publica,Iphone,5,4,No,30,7,1,,0
212,F,24,Casado,Desempleados,Desempleados,Iphone,10,7,Si,31,4,1,15,4
22,,50,Casado,Ingeniero,Institucion publica,Iphone 5,10,6,Si,31,4,1,0,0
161,F,35,Soltero,Desempleados,Institucion publica,Samsung  A6,5,3,Si,50,50,15,0,1
76,M,50,Soltero,Ingeniero de informacion,Institucion publica,Samsung S7+,5,3,No,30,4,1,1,31
192,M,30,,adquisitivo,Institucion publica,Iphone ,5,3,Si,0,50,0,0,31
196,F,24,Soltero,Ingeniero,Sector privado,Samsung j5,5,3,Si,50,50,1,0,1
144,M,50,Casado,Servidor publico,Institucion publica,Iphone ,5,4,No,,4,1,1,31
104,M,35,Soltero,Ingeniero,Sector privado,Iphone,0,4,Si,50,0,31,0,0
235,M,40,Soltero,Servidor publico,Selfemployed ,,10,4,Si,7,31,1,0,15
187,F,30,Soltero,Servidor publico,Desempleados,Samsung Note 4,5,3,Si,,7,31,0,0
1,F,30,Casado,Profesor,Institucion publica,LG G3,10,0,Si,4,0,1,0,31
105,M,24,Soltero,,Desempleados,,5,,Si,50,31,15,0,30
169,M,35,Soltero,Servidor publico,Sector privado,Samsung,10,6,Si,,31,31,0,4
21,F,35,Casado,Psicologo,Institucion publica,Samsung S7+,0,3,No,31,31,1,0,15
19,F,24,Soltero,Servidor publico,Sector privado,Iphone 7,5,6,Si,50,1,0,0,15
58,M,24,Soltero,Enfermera,Sector privado,Iphone,5,6,No,50,50,1,0,0
193,M,30,Soltero,Servidor publico,Sector privado,LG,0,7,Si,30,31,15,0,0
60,F,30,Soltero,Ingeniero electronico,Sector privado,Iphone 5S,5,,Si,7,1,0,15,0
143,F,40,Casado,Ingeniero de software,Sector privado,Samsung j,5,3,No,1,50,1,0,0
171,M,24,Soltero,Profesor,Desempleados,Samsung,5,4,No,4,4,0,0,1
125,M,45,Casado,Servidor publico,Institucion publica,Iphone ,5,6,Si,1,7,15,30,7
95,,30,Soltero,adquisitivo,Institucion publica,SAMSUNG S6,0,7,Si,1,7,0,0,1
52,M,30,Casado,,Sector privado,Iphone,5,3,Si,31,50,1,0,15
7,F,24,Soltero,Ingeniero,Sector privado,Iphone ,5,3,Si,1,1,31,31,31
12,M,35,Soltero,,Sector privado,Samsung j,5,7,Si,7,7,31,15,
120,M,50,Soltero,Desempleados,Sector privado,Samsung,5,3,No,31,1,1,0,0
178,F,30,Casado,Desempleados,Sector privado,Samsung J5,10,3,Si,,31,1,0,0
132,,40,Soltero,Ingenieria en computacion,Sector privado,Samsung,5,4,Si,31,1,15,0,4
129,F,24,Casado,Profesor,Sector privado,Samsung S7+,10,3,Si,50,50,0,0,31
147,M,40,Soltero,Ingeniero,Institucion publica,LG G2,5,3,Si,50,50,1,7,15
26,M,30,Soltero,Ingeniero electrico,Institucion publica,Reeder,10,6,Si,7,50,1,1,7
189,F,30,Soltero,Desempleados,Institucion publica,,5,6,Si,31,7,4,0,15
208,M,30,Casado,Quimico,Sector privado,Iphone,5,6,No,7,50,1,1,7
182,F,35,Casado,Servidor publico,Institucion publica,,5,,No,1,4,1,0,0
174,M,30,Soltero,Cajero,Desempleados,LG,5,4,Si,7,7,0,0,15
161,F,24,Soltero,Profesor,Institucion publica,Iphone,10,6,Si,1,50,1,0,15
117,F,35,Soltero,Ingeniero biomedico,Sector privado,LG,5,4,Si,7,7,1,0,0
144,F,45,Soltero,Servidor publico,Sector privado,Iphone 6,15,3,Si,1,31,1,15,15
182,M,30,Soltero,Ingeniero de software,Institucion publica,Samsung,10,6,Si,50,1,15,0,15
188,F,24,Casado,Servidor publico,Sector privado,Iphone 5,5,3,Si,7,31,1,0,35
67,F,30,Casado,,Institucion publica,Samsung,0,3,Si,1,30,1,0,0
55,M,30,Soltero,Servidor publico,Sector privado,Iphone ,,3,Si,,0,1,15,0
105,F,,Casado,Ingenieria en computacion,Sector privado,Galaxy S4,10,3,Si,30,31,1,0,0
104,M,30,Casado,AlumNo,Institucion publica,Samsung S3,10,6,Si,0,31,0,15,0
231,F,30,Casado,Desempleados,Sector privado,Samsung,10,6,Si,,7,0,0,0
207,M,,Casado,Ingeniero,Institucion publica,HTC ,10,3,Si,31,,1,0,15
180,M,30,Casado,Servidor publico,Sector privado,,5,3,No,1,1,15,0,15
29,F,35,Soltero,Profesor,Sector privado,Samsung,10,,No,1,31,1,0,1
36,M,24,Soltero,Ingeniero,Sector privado,Huawei 6205,5,6,No,1,31,1,0,1
18,M,35,Casado,,Institucion publica,Iphone 6+,5,6,Si,4,0,1,0,0
31,,50,Casado,Servidor publico,Institucion publica,Samsung,0,3,No,4,7,0,0,7
131,M,50,Casado,Analista de informacion,Institucion publica,Samsung Note 3,10,3,Si,1,1,1,0,0
134,F,24,Casado,Profesor,Sector privado,,5,6,No,31,7,0,15,7
217,F,35,Casado,Profesor,Sector privado,Samsung A5,10,3,Si,1,7,1,1,30
199,F,40,Soltero,Servidor publico,Sector privado,Iphone 6,,6,Si,30,50,31,15,30
147,F,30,Soltero,Quimico,Sector privado,Iphone ,5,0,Si,50,50,1,0,7
27,,30,Soltero,Servidor publico,Institucion publica,Samsung 7+ Edge,10,4,Si,1,50,15,0,31
221,F,24,Soltero,Ingenieria en computacion,Sector privado,Iphone,5,3,Si,50,50,31,1,4
231,F,24,Casado,Ingeniero,Sector privado,Casper,5,3,Si,31,31,1,0,0
37,F,,Casado,Profesor,Sector privado,Nokia,5,6,Si,7,50,1,0,31
205,M,24,Soltero,Desempleados,Institucion publica,ASUS,15,3,Si,30,7,1,15,7
24,M,35,Soltero,Analista de informacion,Sector privado,,10,0,No,7,0,1,0,31
50,F,40,Casado,Profesor,Sector privado,Iphone,5,3,No,7,7,31,0,15
6,F,30,Soltero,AlumNo,Institucion publica,General Mobile,5,3,Si,31,,1,0,31
106,M,24,Casado,ArtesaNo,Institucion publica,LG,5,6,Si,50,7,31,0,1
236,M,30,Soltero,Servidor publico,Sector privado,Samsung,5,3,Si,31,50,0,0,0
236,F,30,Soltero,Desempleados,Sector privado,Samsung,10,3,Si,7,1,15,15,15
41,F,50,Casado,Profesor,Sector privado,Samsung S3,15,3,Si,7,4,15,15,4
108,M,30,Soltero,Profesor,Sector privado,Smartphone,5,3,Si,50,7,1,15,7
126,F,30,Soltero,Ingeniero,Institucion publica,Samsung,5,0,No,0,1,1,15,0
120,M,24,Soltero,Profesor,Sector privado,Iphone,5,3,Si,50,7,0,0,1
239,F,,Soltero,,Desempleados,VODEFONE SMART 6,5,3,Si,31,31,31,0,7
35,M,24,Soltero,Ingeniero,Sector privado,Samsung,5,0,Si,50,50,15,0,15
153,F,30,Casado,Ingeniero de software,Sector privado,,5,6,No,7,30,0,1,35
102,M,50,Casado,Profesor,Sector privado,Samsung,10,3,No,31,31,1,0,0
142,F,50,Soltero,Ingeniero,Institucion publica,Samsung,5,6,Si,0,7,1,15,0
244,M,45,Soltero,,Desempleados,Samsung,5,6,Si,0,7,0,0,1
165,F,24,Casado,Desempleados,Sector privado,Samsung,10,,No,50,0,15,0,0
163,M,40,Casado,Servidor publico,Sector privado,Iphone,5,6,No,,1,1,1,7
61,M,50,Soltero,Profesor,Institucion publica,General mobile,5,6,No,7,4,1,0,7
53,F,30,Soltero,Ingeniero de informacion,Institucion publica,LeNovo A7010,5,3,Si,,,31,0,30
24,F,30,,Servidor publico,Sector privado,Samsung,5,3,No,1,31,1,15,7
143,M,45,Casado,Desempleados,Sector privado,LeNovo S1 Lite,5,5,Si,50,31,0,0,0
192,F,40,Casado,Desempleados,Institucion publica,Samsung Note 4,10,3,Si,7,0,1,,1
84,M,35,Soltero,Servidor publico,Sector privado,VODEFONE SMART 6,5,3,Si,,50,1,0,15
94,F,30,Soltero,,Desempleados,,10,3,Si,4,1,30,0,31
165,M,30,Casado,Servidor publico,Institucion publica,ASUS,10,4,Si,7,4,0,,1
184,M,30,Casado,Ingenieria en computacion,Sector privado,Iphone 6+,5,3,Si,,50,0,0,0
9,,30,Casado,Profesor,Sector privado,Iphone ,0,3,No,4,7,15,0,15
24,F,35,Soltero,Desempleados,Sector privado,Genaral Mobile,5,7,Si,1,1,1,1,7
228,F,30,Casado,Ingeniero,Sector privado,Iphone ,5,3,No,0,31,1,0,7
193,M,40,Casado,Profesor,Institucion publica,Iphone 6,5,3,Si,31,1,0,0,4
81,F,24,Casado,Ingeniero,Sector privado,LeNovo K5 Vibe,10,3,Si,31,31,31,0,0
69,F,30,Casado,Ingeniero,Institucion publica,,5,3,Si,50,31,1,15,0
237,M,30,Casado,Ingeniero de software,Sector privado,LeNovo K5 Vibe,5,3,Si,7,30,1,1,4
58,F,30,Soltero,Ingeniero,Institucion publica,Iphone 6S+,5,6,Si,0,1,15,15,31
229,M,24,Casado,Desempleados,Institucion publica,LG G3,5,6,Si,30,7,0,0,0
23,F,30,Soltero,Profesor,Desempleados,Iphone 7,6,7,Si,31,0,1,0,31
84,F,30,Casado,Servidor publico,Institucion publica,Samsung,5,3,Si,1,50,1,0,15
248,F,45,Casado,Profesor,Institucion publica,Samsung,,3,Si,31,50,1,0,7
230,M,35,Casado,Desempleados,Institucion publica,Iphone  6,5,3,Si,31,50,31,0,31
195,M,30,Soltero,Servidor publico,Sector privado,Smartphone,10,7,Si,1,7,0,0,1
28,F,30,Casado,Profesor,Sector privado,Casper,5,4,Si,1,30,1,0,0
